Año,Día,Hora,SentidoNorte,SentidoSur
2019,16,2,99,78
2019,16,3,91,65
2019,16,4,95,100
2019,16,5,302,233
2019,16,6,865,984
2019,16,7,1898,1227
2019,16,8,2289,1762
2019,16,9,2094,1328
2019,16,10,1120,1590
2019,16,11,1177,1540
2019,16,12,1015,1035
2019,16,13,1851,1096
2019,16,14,2473,2275
2019,16,15,2156,2520
2019,16,16,3421,2965
2019,16,17,3494,3813
2019,16,18,4310,3773
2019,16,19,3871,3018
2019,16,20,2970,2675
2019,16,21,1544,2466
2019,16,22,1858,1835
2019,16,23,1323,521
2019,17,0,190,207
2019,17,1,170,175
2019,17,2,61,78
2019,17,3,54,94
2019,17,4,107,123
2019,17,5,400,291
2019,17,6,845,575
2019,17,7,1646,1073
2019,17,8,1700,2098
2019,17,9,1575,1789
2019,17,10,1749,1571
2019,17,11,1677,1266
2019,17,12,1140,1339
2019,17,13,1785,1657
2019,17,14,2323,1661
2019,17,15,2414,2666
2019,17,16,3341,2547
2019,17,17,3010,3191
2019,17,18,3676,3762
2019,17,19,3154,3641
2019,17,20,2669,2286
2019,17,21,2304,1953
2019,17,22,1523,1366
2019,17,23,1311,860
2019,18,0,319,362
2019,18,1,95,157
2019,18,2,78,82
2019,18,3,64,83
2019,18,4,99,100
2019,18,5,240,292
2019,18,6,681,543
2019,18,7,1664,1467
2019,18,8,1607,2323
2019,18,9,1639,1996
2019,18,10,1614,1438
2019,18,11,1668,975
2019,18,12,1178,1167
2019,18,13,1288,1922
2019,18,14,2153,1730
2019,18,15,2544,2022
2019,18,16,3027,2736
2019,18,17,3698,3558
2019,18,18,3916,4199
2019,18,19,3485,3454
2019,18,20,2236,2217
2019,18,21,1929,1844
2019,18,22,1255,1803
2019,18,23,749,1202
2019,19,0,117,182
2019,19,1,101,125
2019,19,2,63,60
2019,19,3,92,67
2019,19,4,97,126
2019,19,5,354,202
2019,19,6,522,566
2019,19,7,1187,1862
2019,19,8,1529,2234
2019,19,9,2021,2127
2019,19,10,1250,1759
2019,19,11,1284,1065
2019,19,12,848,1247
2019,19,13,1617,1141
2019,19,14,1910,2374
2019,19,15,2564,2939
2019,19,16,2900,2729
2019,19,17,3255,3838
2019,19,18,3765,3659
2019,19,19,3873,3729
2019,19,20,2075,2462
2019,19,21,1581,2462
2019,19,22,1886,1505
2019,19,23,774,813
2019,20,0,185,194
2019,20,1,135,134
2019,20,2,81,67
2019,20,3,95,67
2019,20,4,111,148
2019,20,5,349,334
2019,20,6,936,609
2019,20,7,1307,1818
2019,20,8,1859,1991
2019,20,9,1807,2093
2019,20,10,1348,1518
2019,20,11,1163,1617
2019,20,12,1522,878
2019,20,13,1839,1652
2019,20,14,2409,2479
2019,20,15,2463,2586
2019,20,16,2785,2730
2019,20,17,3203,3122
2019,20,18,4414,4469
2019,20,19,3612,3314
2019,20,20,2516,2747
2019,20,21,1728,1958
2019,20,22,1902,1418
2019,20,23,1345,1358
2019,21,0,254,267
2019,21,1,211,63
2019,21,2,72,73
2019,21,3,76,72
2019,21,4,63,109
2019,21,5,241,253
2019,21,6,936,745
2019,21,7,1377,1025
2019,21,8,1948,2469
2019,21,9,2141,1760
2019,21,10,1041,1203
2019,21,11,960,1103
2019,21,12,1294,1218
2019,21,13,1294,1149
2019,21,14,2390,1986
2019,21,15,2867,2098
2019,21,16,3378,2557
2019,21,17,3345,3609
2019,21,18,4130,4263
2019,21,19,3943,3628
2019,21,20,2587,2614
2019,21,21,2357,1540
2019,21,22,1946,1463
2019,21,23,1044,613
2019,22,0,199,211
2019,22,1,234,111
2019,22,2,64,98
2019,22,3,99,72
2019,22,4,114,57
2019,22,5,205,294
2019,22,6,659,636
2019,22,7,1411,1370
2019,22,8,1680,2129
2019,22,9,1756,1358
2019,22,10,1291,1477
2019,22,11,1103,1558
2019,22,12,876,1334
2019,22,13,1056,1199
2019,22,14,2133,1714
2019,22,15,2650,2258
2019,22,16,3304,2991
2019,22,17,3725,3659
2019,22,18,3548,4251
2019,22,19,3723,3068
2019,22,20,2923,2893
2019,22,21,1626,2360
2019,22,22,1474,1351
2019,22,23,1410,1180
2019,23,0,169,143
2019,23,1,80,51
2019,23,2,55,91
2019,23,3,50,68
2019,23,4,129,97
2019,23,5,308,324
2019,23,6,614,500
2019,23,7,1236,1424
2019,23,8,1682,2053
2019,23,9,2110,2162
2019,23,10,1285,1306
2019,23,11,1414,1063
2019,23,12,1384,1519
2019,23,13,1320,1515
2019,23,14,2236,1772
2019,23,15,2749,2615
2019,23,16,3464,3174
2019,23,17,3857,3055
2019,23,18,4417,3623
2019,23,19,3001,3975
2019,23,20,2432,2826
2019,23,21,2001,1903
2019,23,22,1177,1304
2019,23,23,1087,795
2019,24,0,149,361
2019,24,1,142,121
2019,24,2,93,97
2019,24,3,77,91
2019,24,4,133,92
2019,24,5,253,310
2019,24,6,668,747
2019,24,7,1911,1251
2019,24,8,1500,2131
2019,24,9,1213,1765
2019,24,10,1256,1137
2019,24,11,1154,1406
2019,24,12,1565,844
2019,24,13,1312,1092
2019,24,14,1557,2033
2019,24,15,2436,2479
2019,24,16,2999,3433
2019,24,17,3250,3881
2019,24,18,3510,4222
2019,24,19,3968,3615
2019,24,20,2099,2873
2019,24,21,1730,2326
2019,24,22,1605,1145
2019,24,23,712,904
2019,25,0,346,180
2019,25,1,192,61
2019,25,2,93,89
2019,25,3,80,82
2019,25,4,125,139
2019,25,5,349,211
2019,25,6,603,989
2019,25,7,1148,1261
2019,25,8,1643,2176
2019,25,9,1809,1543
2019,25,10,1038,1233
2019,25,11,913,1619
2019,25,12,862,1181
2019,25,13,1257,1226
2019,25,14,1813,1724
2019,25,15,2237,2930
2019,25,16,2938,3085
2019,25,17,3185,3795
2019,25,18,4186,3897
2019,25,19,3400,3198
2019,25,20,2999,2682
2019,25,21,2070,2268
2019,25,22,1332,1880
2019,25,23,1470,1431
2019,26,0,141,230
2019,26,1,52,168
2019,26,2,61,77
2019,26,3,90,74
2019,26,4,94,121
2019,26,5,231,249
2019,26,6,703,746
2019,26,7,1777,1056
2019,26,8,1505,1528
2019,26,9,1456,1868
2019,26,10,1367,1388
2019,26,11,997,1559
2019,26,12,1010,853
2019,26,13,1919,1352
2019,26,14,1631,1548
2019,26,15,2736,2232
2019,26,16,2728,3120
2019,26,17,3769,3850
2019,26,18,4395,3905
2019,26,19,3515,3054
2019,26,20,2109,2428
2019,26,21,2025,2248
2019,26,22,1517,1704
2019,26,23,576,979
2019,27,0,141,336
2019,27,1,170,64
2019,27,2,51,88
2019,27,3,63,85
2019,27,4,144,84
2019,27,5,399,304
2019,27,6,647,500
2019,27,7,1714,1986
2019,27,8,1900,2260
2019,27,9,1819,1296
2019,27,10,1403,1485
2019,27,11,1023,1243
2019,27,12,957,1049
2019,27,13,1732,1722
2019,27,14,1553,1782
2019,27,15,2829,2453
2019,27,16,2648,2639
2019,27,17,3506,3489
2019,27,18,3788,4326
2019,27,19,3423,3326
2019,27,20,2056,2550
2019,27,21,1657,1650
2019,27,22,1367,1736
2019,27,23,1307,1277
2019,28,0,271,167
2019,28,1,198,244
2019,28,2,78,81
2019,28,3,96,72
2019,28,4,133,79
2019,28,5,270,336
2019,28,6,627,532
2019,28,7,1849,1025
2019,28,8,1857,2500
2019,28,9,1536,1569
2019,28,10,1735,1553
2019,28,11,1527,1282
2019,28,12,1153,1017
2019,28,13,1417,1382
2019,28,14,1504,1874
2019,28,15,2481,2969
2019,28,16,2809,3432
2019,28,17,3267,3655
2019,28,18,4198,4028
2019,28,19,3046,3963
2019,28,20,2265,2804
2019,28,21,1667,2293
2019,28,22,1524,1867
2019,28,23,922,741
2019,29,0,233,244
2019,29,1,208,195
2019,29,2,59,65
2019,29,3,61,92
2019,29,4,67,115
2019,29,5,329,297
2019,29,6,764,701
2019,29,7,1496,1826
2019,29,8,2171,1553
2019,29,9,1356,1621
2019,29,10,1687,1501
2019,29,11,952,1165
2019,29,12,1523,1225
2019,29,13,1728,1037
2019,29,14,1766,2291
2019,29,15,2456,2175
2019,29,16,3206,2592
2019,29,17,3087,3399
2019,29,18,4217,3588
2019,29,19,3356,3837
2019,29,20,2698,2153
2019,29,21,2135,1794
2019,29,22,1070,1629
2019,29,23,522,1408
2019,30,0,209,325
2019,30,1,147,217
2019,30,2,92,65
2019,30,3,73,93
2019,30,4,139,54
2019,30,5,350,330
2019,30,6,903,936
2019,30,7,1171,1819
2019,30,8,2271,2441
2019,30,9,1682,1842
2019,30,10,1355,1251
2019,30,11,1035,1021
2019,30,12,1070,1045
2019,30,13,1292,1360
2019,30,14,1512,1847
2019,30,15,2717,2960
2019,30,16,2651,2619
2019,30,17,3710,3877
2019,30,18,3528,4108
2019,30,19,3839,3474
2019,30,20,2476,2185
2019,30,21,2407,1668
2019,30,22,1892,1863
2019,30,23,1028,988
2019,31,0,387,105
2019,31,1,232,245
2019,31,2,65,93
2019,31,3,50,53
2019,31,4,90,61
2019,31,5,376,351
2019,31,6,748,610
2019,31,7,1404,1113
2019,31,8,2204,2171
2019,31,9,1626,2019
2019,31,10,1530,1304
2019,31,11,1017,1515
2019,31,12,809,1130
2019,31,13,1788,1440
2019,31,14,1592,2402
2019,31,15,2002,2652
2019,31,16,3070,3076
2019,31,17,3584,3357
2019,31,18,3841,3571
2019,31,19,3317,3975
2019,31,20,2766,2915
2019,31,21,1824,1783
2019,31,22,1914,1653
2019,31,23,843,1134
2019,32,0,400,153
2019,32,1,128,201
2019,32,2,91,59
2019,32,3,98,100
2019,32,4,65,56
2019,32,5,234,200
2019,32,6,797,735
2019,32,7,1762,1153
2019,32,8,1629,1674
2019,32,9,1659,2060
2019,32,10,1159,1670
2019,32,11,1248,1669
2019,32,12,1041,898
2019,32,13,1940,1826
2019,32,14,2387,2172
2019,32,15,2815,2270
2019,32,16,3387,3479
2019,32,17,3376,3760
2019,32,18,4368,4099
2019,32,19,3461,3577
2019,32,20,2936,2501
2019,32,21,2495,2233
2019,32,22,1933,1168
2019,32,23,625,1410
2019,33,0,324,216
2019,33,1,178,200
2019,33,2,98,88
2019,33,3,95,61
2019,33,4,70,91
2019,33,5,207,371
2019,33,6,776,971
2019,33,7,1266,1299
2019,33,8,1959,2419
2019,33,9,1603,1627
2019,33,10,1789,1148
2019,33,11,988,964
2019,33,12,1528,1392
2019,33,13,1059,1667
2019,33,14,1882,2436
2019,33,15,2910,2237
2019,33,16,2639,2999
2019,33,17,3673,3168
2019,33,18,4387,3898
2019,33,19,3167,3677
2019,33,20,2405,2907
2019,33,21,1778,2056
2019,33,22,1818,1554
2019,33,23,930,1357
2019,34,0,263,295
2019,34,1,79,96
2019,34,2,51,78
2019,34,3,54,87
2019,34,4,54,125
2019,34,5,313,255
2019,34,6,890,883
2019,34,7,1436,1262
2019,34,8,2182,1755
2019,34,9,1747,1847
2019,34,10,1786,1562
2019,34,11,1249,1057
2019,34,12,1081,1386
2019,34,13,1810,1178
2019,34,14,1829,2196
2019,34,15,2708,2892
2019,34,16,3076,3448
2019,34,17,3949,3903
2019,34,18,4412,3932
2019,34,19,3112,3349
2019,34,20,2085,2583
2019,34,21,2432,1562
2019,34,22,1702,1185
2019,34,23,1499,1404
2019,35,0,241,392
2019,35,1,250,119
2019,35,2,97,61
2019,35,3,70,92
2019,35,4,83,86
2019,35,5,286,320
2019,35,6,950,859
2019,35,7,1586,1511
2019,35,8,2431,2425
2019,35,9,1212,1650
2019,35,10,1641,1287
2019,35,11,1068,1469
2019,35,12,1039,1315
2019,35,13,1452,1876
2019,35,14,2121,2274
2019,35,15,2880,2596
2019,35,16,2997,2681
2019,35,17,3972,3482
2019,35,18,3557,4454
2019,35,19,3144,3442
2019,35,20,2174,2270
2019,35,21,1887,2004
2019,35,22,1976,1360
2019,35,23,674,1201
2019,36,0,204,297
2019,36,1,96,110
2019,36,2,73,66
2019,36,3,80,77
2019,36,4,129,61
2019,36,5,391,366
2019,36,6,974,603
2019,36,7,1165,1894
2019,36,8,2370,1790
2019,36,9,1279,2168
2019,36,10,1203,1032
2019,36,11,1617,1447
2019,36,12,940,1460
2019,36,13,1210,1648
2019,36,14,1603,1682
2019,36,15,2581,2314
2019,36,16,2799,3490
2019,36,17,3070,3209
2019,36,18,4090,3796
2019,36,19,3711,3102
2019,36,20,2344,2544
2019,36,21,2410,1520
2019,36,22,1574,1175
2019,36,23,1038,1103
2019,37,0,370,371
2019,37,1,85,62
2019,37,2,51,71
2019,37,3,80,93
2019,37,4,61,86
2019,37,5,397,245
2019,37,6,873,622
2019,37,7,1747,1648
2019,37,8,1696,2299
2019,37,9,1217,1553
2019,37,10,1708,1370
2019,37,11,1184,1695
2019,37,12,874,1147
2019,37,13,1433,1177
2019,37,14,1984,2447
2019,37,15,2982,2000
2019,37,16,3350,2959
2019,37,17,3761,3888
2019,37,18,4442,4400
2019,37,19,3887,3126
2019,37,20,2625,2137
2019,37,21,1656,2383
2019,37,22,1783,1550
2019,37,23,930,755
2019,38,0,286,235
2019,38,1,113,152
2019,38,2,71,58
2019,38,3,87,55
2019,38,4,94,93
2019,38,5,325,292
2019,38,6,689,805
2019,38,7,1994,1546
2019,38,8,1823,2034
2019,38,9,1875,1835
2019,38,10,1526,1476
2019,38,11,1690,1121
2019,38,12,862,1033
2019,38,13,1641,1486
2019,38,14,1962,2437
2019,38,15,2270,2582
2019,38,16,3490,2990
2019,38,17,3770,3977
2019,38,18,3502,3889
2019,38,19,3797,3121
2019,38,20,2575,2136
2019,38,21,2298,2023
2019,38,22,1325,1575
2019,38,23,523,1208
2019,39,0,315,169
2019,39,1,212,135
2019,39,2,77,70
2019,39,3,66,71
2019,39,4,96,95
2019,39,5,394,275
2019,39,6,902,915
2019,39,7,1868,1438
2019,39,8,1663,1872
2019,39,9,2068,1672
2019,39,10,1098,1413
2019,39,11,969,1318
2019,39,12,1096,1514
2019,39,13,1910,1159
2019,39,14,2105,1831
2019,39,15,2402,2418
2019,39,16,2631,2786
2019,39,17,3024,3525
2019,39,18,4127,4065
2019,39,19,3797,3104
2019,39,20,2093,2086
2019,39,21,1775,1773
2019,39,22,1939,1531
2019,39,23,823,1225
2019,40,0,148,162
2019,40,1,161,169
2019,40,2,82,92
2019,40,3,83,55
2019,40,4,56,111
2019,40,5,275,225
2019,40,6,544,995
2019,40,7,1239,1350
2019,40,8,2131,1898
2019,40,9,2052,1795
2019,40,10,1606,1579
2019,40,11,1649,1030
2019,40,12,1266,1507
2019,40,13,1136,1479
2019,40,14,2061,1654
2019,40,15,2414,2470
2019,40,16,3488,3361
2019,40,17,3657,3999
2019,40,18,3774,3806
2019,40,19,3729,3140
2019,40,20,2161,2760
2019,40,21,1838,2047
2019,40,22,1327,1814
2019,40,23,1353,1230
2019,41,0,159,127
2019,41,1,88,75
2019,41,2,60,83
2019,41,3,54,57
2019,41,4,71,103
2019,41,5,262,324
2019,41,6,887,881
2019,41,7,1627,1083
2019,41,8,1609,2116
2019,41,9,1322,2089
2019,41,10,1597,1601
2019,41,11,1044,1461
2019,41,12,1540,1347
2019,41,13,1498,1955
2019,41,14,2280,2285
2019,41,15,2319,2195
2019,41,16,2941,2684
2019,41,17,3088,3718
2019,41,18,3533,4304
2019,41,19,3820,3100
2019,41,20,2169,2817
2019,41,21,2454,2422
2019,41,22,1447,1461
2019,41,23,503,573
2019,42,0,339,379
2019,42,1,64,142
2019,42,2,99,53
2019,42,3,70,96
2019,42,4,82,132
2019,42,5,266,337
2019,42,6,771,702
2019,42,7,1269,1142
2019,42,8,1641,2295
2019,42,9,1917,1888
2019,42,10,1092,1424
2019,42,11,1527,1506
2019,42,12,1360,1382
2019,42,13,1140,1772
2019,42,14,1770,1633
2019,42,15,2286,2162
2019,42,16,2994,2932
2019,42,17,3342,3313
2019,42,18,3770,3819
2019,42,19,3019,3325
2019,42,20,2240,2341
2019,42,21,1788,1677
2019,42,22,1660,1248
2019,42,23,1425,541
2019,43,0,114,268
2019,43,1,132,101
2019,43,2,78,53
2019,43,3,93,77
2019,43,4,103,57
2019,43,5,377,322
2019,43,6,754,867
2019,43,7,1604,1925
2019,43,8,1759,1615
2019,43,9,1369,1780
2019,43,10,1106,1771
2019,43,11,1671,1201
2019,43,12,1595,1080
2019,43,13,1854,1161
2019,43,14,2057,1803
2019,43,15,2210,2281
2019,43,16,2977,2853
2019,43,17,3792,3479
2019,43,18,3986,4461
2019,43,19,3580,3280
2019,43,20,2285,2592
2019,43,21,1843,2025
2019,43,22,1586,1026
2019,43,23,1416,641
2019,44,0,378,254
2019,44,1,183,207
2019,44,2,54,83
2019,44,3,63,83
2019,44,4,71,126
2019,44,5,262,249
2019,44,6,676,815
2019,44,7,1751,1116
2019,44,8,1832,2008
2019,44,9,1269,1580
2019,44,10,1310,1680
2019,44,11,1227,1570
2019,44,12,1031,1310
2019,44,13,1526,1122
2019,44,14,1864,2328
2019,44,15,2018,2039
2019,44,16,3102,2928
2019,44,17,3647,3020
2019,44,18,3576,4282
2019,44,19,3659,3591
2019,44,20,2080,2415
2019,44,21,1823,2080
2019,44,22,1669,1693
2019,44,23,966,1431
2019,45,0,293,116
2019,45,1,224,183
2019,45,2,99,91
2019,45,3,91,58
2019,45,4,132,86
2019,45,5,389,300
2019,45,6,546,955
2019,45,7,1609,1342
2019,45,8,1605,1551
2019,45,9,1368,1576
2019,45,10,1731,1400
2019,45,11,1283,1213
2019,45,12,1000,1321
2019,45,13,1460,1998
2019,45,14,2146,1711
2019,45,15,2874,2673
2019,45,16,2835,2603
2019,45,17,3443,3438
2019,45,18,4326,4223
2019,45,19,3561,3853
2019,45,20,2560,2338
2019,45,21,1757,1658
2019,45,22,1810,1199
2019,45,23,1389,919
2019,46,0,187,237
2019,46,1,128,164
2019,46,2,71,98
2019,46,3,83,80
2019,46,4,149,50
2019,46,5,219,256
2019,46,6,741,581
2019,46,7,1155,1672
2019,46,8,2091,2146
2019,46,9,1928,2008
2019,46,10,1019,1236
2019,46,11,973,921
2019,46,12,1114,1565
2019,46,13,1028,1555
2019,46,14,1941,2014
2019,46,15,2307,2857
2019,46,16,2521,3139
2019,46,17,3907,3255
2019,46,18,4215,3864
2019,46,19,3629,3631
2019,46,20,2968,2367
2019,46,21,2471,1631
2019,46,22,1018,1523
2019,46,23,1052,564
2019,47,0,219,171
2019,47,1,203,128
2019,47,2,67,81
2019,47,3,64,62
2019,47,4,110,125
2019,47,5,207,367
2019,47,6,725,526
2019,47,7,1549,1947
2019,47,8,2406,2210
2019,47,9,1334,2096
2019,47,10,1140,1565
2019,47,11,1339,1224
2019,47,12,1154,1535
2019,47,13,1628,1965
2019,47,14,1851,2135
2019,47,15,2485,2425
2019,47,16,2655,2686
2019,47,17,3065,3490
2019,47,18,4016,4198
2019,47,19,3929,3904
2019,47,20,2997,2399
2019,47,21,1744,1548
2019,47,22,1143,1076
2019,47,23,679,682
2019,48,0,197,131
2019,48,1,152,230
