Año,Trimestre,PM,Punto de Medida,IMDL,IMDS,IMDD,IMHPL,IMHPS,IMHPD
2014,1,2,Avda. Juan Sebastian Elcano - Oeste,16545,10310,8241,1283,970,867
2014,2,2,Avda. Juan Sebastian Elcano - Oeste,14486,12446,8908,1261,1174,833
2013,1,2,Avda. Juan Sebastian Elcano - Oeste,13774,11182,9696,1340,1153,1096
2013,2,2,Avda. Juan Sebastian Elcano - Oeste,13709,10247,10842,1108,1356,825
2012,1,2,Avda. Juan Sebastian Elcano - Oeste,16506,11003,10702,1186,1021,1162
2012,2,2,Avda. Juan Sebastian Elcano - Oeste,14229,12377,9776,1454,1075,1014
2011,1,2,Avda. Juan Sebastian Elcano - Oeste,15551,11584,11292,1429,1114,992
2011,2,2,Avda. Juan Sebastian Elcano - Oeste,14041,11601,10338,1339,1192,990
2010,1,2,Avda. Juan Sebastian Elcano - Oeste,15906,14892,10827,1305,1263,899
2010,2,2,Avda. Juan Sebastian Elcano - Oeste,15273,11455,8724,1195,1136,834
2020,1,3,Bolivia - Este,11889,8637,6930,961,1078,935
2020,2,3,Bolivia - Este,11003,8441,5938,1045,898,1002
2019,1,3,Bolivia - Este,10266,8962,6527,1084,1105,960
2019,2,3,Bolivia - Este,12073,10318,7853,1161,1023,838
2018,1,3,Bolivia - Este,13566,9057,7177,993,1018,801
2018,2,3,Bolivia - Este,12199,8902,6419,1091,906,1038
2017,1,3,Bolivia - Este,13328,8541,8078,1288,847,978
2017,2,3,Bolivia - Este,9375,10519,6495,1382,959,933
2016,1,3,Bolivia - Este,13374,9994,7309,1388,797,985
2016,2,3,Bolivia - Este,9984,11191,8284,1109,1031,900
2015,1,3,Bolivia - Este,9573,11175,6550,1081,1078,879
2015,2,3,Bolivia - Este,11731,10065,7351,1169,907,699
2014,1,3,Bolivia - Este,9822,9112,7288,1375,766,758
2014,2,3,Bolivia - Este,12492,9252,7828,980,1012,947
2013,1,3,Bolivia - Este,11573,8147,8221,1101,1095,998
2013,2,3,Bolivia - Este,12258,10908,8486,1170,1057,716
2012,1,3,Bolivia - Este,13523,9357,6786,1314,800,697
2012,2,3,Bolivia - Este,12180,7716,6524,980,777,828
2011,1,3,Bolivia - Este,9434,8284,8004,1177,1088,988
2011,2,3,Bolivia - Este,10136,8445,6224,1248,1099,1003
2010,1,3,Bolivia - Este,12752,10533,5984,1165,1054,975
2010,2,3,Bolivia - Este,13217,8672,6690,1296,819,881
2020,1,4,P.M. Pablo Ruiz Picasso - Este,18098,10943,10381,1452,1272,893
2020,2,4,P.M. Pablo Ruiz Picasso - Este,12591,9064,7181,1601,1218,813
2019,1,4,P.M. Pablo Ruiz Picasso - Este,15413,9714,7042,1482,1319,1073
2019,2,4,P.M. Pablo Ruiz Picasso - Este,12566,9365,8892,2001,1291,886
2018,1,4,P.M. Pablo Ruiz Picasso - Este,16218,10291,9212,1583,943,949
2018,2,4,P.M. Pablo Ruiz Picasso - Este,17347,9593,9516,1607,1159,990
2017,1,4,P.M. Pablo Ruiz Picasso - Este,16976,12629,7526,1619,963,813
2017,2,4,P.M. Pablo Ruiz Picasso - Este,17184,9440,7788,1567,1081,1131
2016,1,4,P.M. Pablo Ruiz Picasso - Este,13832,12931,8686,2016,1101,990
2016,2,4,P.M. Pablo Ruiz Picasso - Este,16603,13080,10166,1561,1031,827
2015,1,4,P.M. Pablo Ruiz Picasso - Este,14364,9877,9710,1445,1134,1113
2015,2,4,P.M. Pablo Ruiz Picasso - Este,14804,12234,9830,1792,1303,1167
2014,1,4,P.M. Pablo Ruiz Picasso - Este,17899,10577,7908,1616,899,926
2014,2,4,P.M. Pablo Ruiz Picasso - Este,17705,12735,9540,2029,1255,1052
2013,1,4,P.M. Pablo Ruiz Picasso - Este,17810,10774,8373,2031,1008,1093
2013,2,4,P.M. Pablo Ruiz Picasso - Este,16437,9603,9279,1767,1253,983
2012,1,4,P.M. Pablo Ruiz Picasso - Este,15504,11596,8303,1741,1323,1007
2012,2,4,P.M. Pablo Ruiz Picasso - Este,13283,9373,10385,1683,1161,895
2011,1,4,P.M. Pablo Ruiz Picasso - Este,13755,9572,8224,1835,981,862
2011,2,4,P.M. Pablo Ruiz Picasso - Este,16783,10612,10247,2052,958,1044
2010,1,4,P.M. Pablo Ruiz Picasso - Este,16620,9498,9397,1572,1123,922
2010,2,4,P.M. Pablo Ruiz Picasso - Este,13419,12294,8273,1806,1098,928
2020,1,5,P.M. Pablo Ruiz Picasso - Oeste,20147,17429,13865,1732,1461,1426
2020,2,5,P.M. Pablo Ruiz Picasso - Oeste,18266,12781,12762,1989,1509,1268
2019,1,5,P.M. Pablo Ruiz Picasso - Oeste,23260,18178,12462,1865,1325,1142
2019,2,5,P.M. Pablo Ruiz Picasso - Oeste,23338,17499,11358,1509,1369,1393
2018,1,5,P.M. Pablo Ruiz Picasso - Oeste,23464,17986,13686,1630,1401,1287
2018,2,5,P.M. Pablo Ruiz Picasso - Oeste,20549,12685,11978,1573,1670,1232
2017,1,5,P.M. Pablo Ruiz Picasso - Oeste,22967,16752,11211,2077,1617,1134
2017,2,5,P.M. Pablo Ruiz Picasso - Oeste,15962,16969,14908,1789,1498,1242
2016,1,5,P.M. Pablo Ruiz Picasso - Oeste,16108,18700,12174,1762,1538,1065
2016,2,5,P.M. Pablo Ruiz Picasso - Oeste,22376,16747,12893,2035,1535,1212
2015,1,5,P.M. Pablo Ruiz Picasso - Oeste,21405,13905,12449,1470,1528,1216
2015,2,5,P.M. Pablo Ruiz Picasso - Oeste,18819,18698,14644,1887,1517,999
2014,1,5,P.M. Pablo Ruiz Picasso - Oeste,22193,13747,13346,1791,1501,1262
2014,2,5,P.M. Pablo Ruiz Picasso - Oeste,21923,14914,13391,1741,1308,1153
2013,1,5,P.M. Pablo Ruiz Picasso - Oeste,17998,18234,12775,1669,1671,1003
2013,2,5,P.M. Pablo Ruiz Picasso - Oeste,21230,14899,12873,1934,1305,1181
2012,1,5,P.M. Pablo Ruiz Picasso - Oeste,16888,17386,14371,2022,1134,1439
2012,2,5,P.M. Pablo Ruiz Picasso - Oeste,23574,15576,13364,1559,1469,1264
2011,1,5,P.M. Pablo Ruiz Picasso - Oeste,17123,14767,14066,2014,1133,1066
2011,2,5,P.M. Pablo Ruiz Picasso - Oeste,16267,18715,14063,1535,1292,1387
2010,1,5,P.M. Pablo Ruiz Picasso - Oeste,22513,17716,12464,1956,1150,1232
2010,2,5,P.M. Pablo Ruiz Picasso - Oeste,17465,18286,13966,2118,1309,1145
2020,1,1,Avda. Juan Sebastian Elcano - Este,5640,4313,2984,392,370,297
2020,2,1,Avda. Juan Sebastian Elcano - Este,5319,3956,3591,374,271,226
2019,1,1,Avda. Juan Sebastian Elcano - Este,4532,4303,2803,389,359,224
2019,2,1,Avda. Juan Sebastian Elcano - Este,4442,4214,3254,451,335,288
2018,1,1,Avda. Juan Sebastian Elcano - Este,5877,3569,3118,402,347,229
2018,2,1,Avda. Juan Sebastian Elcano - Este,5191,3420,3422,402,280,238
2017,1,1,Avda. Juan Sebastian Elcano - Este,5723,4470,4140,360,253,268
2017,2,1,Avda. Juan Sebastian Elcano - Este,4846,4314,3116,465,349,228
2016,1,1,Avda. Juan Sebastian Elcano - Este,4975,4511,3960,390,355,240
2016,2,1,Avda. Juan Sebastian Elcano - Este,4227,3935,3054,399,275,236
2015,1,1,Avda. Juan Sebastian Elcano - Este,5335,3663,3962,392,292,219
2015,2,1,Avda. Juan Sebastian Elcano - Este,5527,4571,3613,415,328,247
2014,1,1,Avda. Juan Sebastian Elcano - Este,5039,3651,3519,346,314,199
2014,2,1,Avda. Juan Sebastian Elcano - Este,4795,4715,3173,334,300,276
2013,1,1,Avda. Juan Sebastian Elcano - Este,5878,3640,3046,372,258,201
2013,2,1,Avda. Juan Sebastian Elcano - Este,5500,4546,4001,416,285,283
2012,1,1,Avda. Juan Sebastian Elcano - Este,5376,4903,4055,382,338,280
2012,2,1,Avda. Juan Sebastian Elcano - Este,5961,4608,2989,477,354,200
2011,1,1,Avda. Juan Sebastian Elcano - Este,5247,3335,3209,376,261,240
2011,2,1,Avda. Juan Sebastian Elcano - Este,5228,3620,3731,481,276,293
2010,1,1,Avda. Juan Sebastian Elcano - Este,4671,3671,3905,367,346,255
2010,2,1,Avda. Juan Sebastian Elcano - Este,5201,4015,4154,404,276,248
2020,1,2,Avda. Juan Sebastian Elcano - Oeste,17657,11861,10828,1488,1180,1054
2020,2,2,Avda. Juan Sebastian Elcano - Oeste,14034,11627,10999,1666,1126,1105
2019,1,2,Avda. Juan Sebastian Elcano - Oeste,19314,14800,11977,1447,1204,1106
2019,2,2,Avda. Juan Sebastian Elcano - Oeste,16500,11911,12445,1338,1012,1005
2018,1,2,Avda. Juan Sebastian Elcano - Oeste,15707,15744,11714,1295,860,984
2018,2,2,Avda. Juan Sebastian Elcano - Oeste,18588,17303,10220,1198,1257,771
2017,1,2,Avda. Juan Sebastian Elcano - Oeste,19272,16727,13758,1149,902,988
2017,2,2,Avda. Juan Sebastian Elcano - Oeste,17767,13307,12409,1317,939,808
2016,1,2,Avda. Juan Sebastian Elcano - Oeste,18842,15814,13281,1459,1124,859
2016,2,2,Avda. Juan Sebastian Elcano - Oeste,14351,16987,14265,1318,871,796
2015,1,2,Avda. Juan Sebastian Elcano - Oeste,14346,12202,10521,1683,1103,1004
2015,2,2,Avda. Juan Sebastian Elcano - Oeste,18437,15312,11712,1706,1077,936
2014,1,2,Avda. Juan Sebastian Elcano - Oeste,17745,14888,12800,1147,1276,1000
2014,2,2,Avda. Juan Sebastian Elcano - Oeste,15715,13002,12620,1227,1146,776
2013,1,2,Avda. Juan Sebastian Elcano - Oeste,16077,13941,13368,1224,1080,1097
2013,2,2,Avda. Juan Sebastian Elcano - Oeste,19324,14734,11716,1143,1258,1100
2012,1,2,Avda. Juan Sebastian Elcano - Oeste,20009,16631,13185,1355,1136,803
2012,2,2,Avda. Juan Sebastian Elcano - Oeste,16712,17235,13418,1557,921,1044
2011,1,2,Avda. Juan Sebastian Elcano - Oeste,13905,14979,11799,1626,878,953
2011,2,2,Avda. Juan Sebastian Elcano - Oeste,15333,11979,12768,1601,988,1022
2010,1,2,Avda. Juan Sebastian Elcano - Oeste,19282,13852,12214,1253,1189,1014
2010,2,2,Avda. Juan Sebastian Elcano - Oeste,18611,14619,12589,1358,903,1031
2020,1,3,Bolivia - Este,14679,11332,10594,938,793,808
2020,2,3,Bolivia - Este,14481,11242,9002,1311,856,794
2019,1,3,Bolivia - Este,13326,10277,7367,1214,919,902
2019,2,3,Bolivia - Este,14350,11417,9066,1071,878,818
2018,1,3,Bolivia - Este,14868,12427,9855,1145,851,706
2018,2,3,Bolivia - Este,10544,10440,8479,1325,799,746
2017,1,3,Bolivia - Este,10333,12664,7717,1027,746,880
2017,2,3,Bolivia - Este,10012,10186,10086,1008,835,923
2016,1,3,Bolivia - Este,14457,8547,9970,1316,1007,884
2016,2,3,Bolivia - Este,12464,9576,8474,1016,790,855
2015,1,3,Bolivia - Este,11289,9706,9972,1308,710,681
2015,2,3,Bolivia - Este,10773,9236,10483,1022,804,798
2014,1,3,Bolivia - Este,12186,8904,8678,949,927,771
2014,2,3,Bolivia - Este,10972,11311,9121,1108,841,904
2013,1,3,Bolivia - Este,12818,8627,9644,1014,920,982
2013,2,3,Bolivia - Este,11369,11437,10829,1200,938,835
2012,1,3,Bolivia - Este,12526,12638,9449,1329,886,948
2012,2,3,Bolivia - Este,12923,12438,7735,1273,962,853
2011,1,3,Bolivia - Este,13782,10960,8343,1232,849,892
2011,2,3,Bolivia - Este,14242,11469,8307,1131,764,850
2010,1,3,Bolivia - Este,11905,10884,8822,1183,730,764
2010,2,3,Bolivia - Este,10240,9797,9674,1356,776,874
2020,1,4,P.M. Pablo Ruiz Picasso - Este,13721,12535,12384,1526,963,821
2020,2,4,P.M. Pablo Ruiz Picasso - Este,14857,11075,12909,1382,1292,1050
2019,1,4,P.M. Pablo Ruiz Picasso - Este,16925,15348,10366,1627,990,1007
2019,2,4,P.M. Pablo Ruiz Picasso - Este,16695,15376,9468,1708,984,1068
2018,1,4,P.M. Pablo Ruiz Picasso - Este,14494,14377,11601,1517,1154,964
2018,2,4,P.M. Pablo Ruiz Picasso - Este,19860,14944,12831,1997,1001,863
2017,1,4,P.M. Pablo Ruiz Picasso - Este,15695,11103,10813,1562,981,878
2017,2,4,P.M. Pablo Ruiz Picasso - Este,19904,11220,10975,1660,1099,1125
2016,1,4,P.M. Pablo Ruiz Picasso - Este,14901,16267,11730,1560,1330,899
2016,2,4,P.M. Pablo Ruiz Picasso - Este,14828,11862,12489,1816,990,1131
2015,1,4,P.M. Pablo Ruiz Picasso - Este,20110,15349,10006,1414,1387,1045
2015,2,4,P.M. Pablo Ruiz Picasso - Este,18783,14819,9263,1501,982,1131
2014,1,4,P.M. Pablo Ruiz Picasso - Este,16448,13677,9001,1804,1301,867
2014,2,4,P.M. Pablo Ruiz Picasso - Este,19257,14988,11362,1875,1119,800
2013,1,4,P.M. Pablo Ruiz Picasso - Este,16075,12434,12904,2004,1128,1093
2013,2,4,P.M. Pablo Ruiz Picasso - Este,13960,14892,9819,1442,1144,844
2012,1,4,P.M. Pablo Ruiz Picasso - Este,14153,15281,9836,1605,987,928
2012,2,4,P.M. Pablo Ruiz Picasso - Este,14911,14607,9254,1999,1344,1020
2011,1,4,P.M. Pablo Ruiz Picasso - Este,17802,16215,9253,1718,971,1092
2011,2,4,P.M. Pablo Ruiz Picasso - Este,13714,14306,9607,1552,1214,847
2010,1,4,P.M. Pablo Ruiz Picasso - Este,18190,14824,11906,1423,1035,944
2010,2,4,P.M. Pablo Ruiz Picasso - Este,13984,14472,8944,1801,1014,840
2020,1,5,P.M. Pablo Ruiz Picasso - Oeste,23358,21932,16933,2162,1323,1386
2020,2,5,P.M. Pablo Ruiz Picasso - Oeste,24996,18324,18399,2126,1119,1177
2019,1,5,P.M. Pablo Ruiz Picasso - Oeste,26831,19413,14704,2038,1379,1276
2019,2,5,P.M. Pablo Ruiz Picasso - Oeste,20827,17998,16097,1818,1302,1376
2018,1,5,P.M. Pablo Ruiz Picasso - Oeste,21896,22661,15681,2290,1196,1049
2018,2,5,P.M. Pablo Ruiz Picasso - Oeste,20284,17910,18415,2267,1219,1066
2017,1,5,P.M. Pablo Ruiz Picasso - Oeste,24812,21949,18782,2090,1224,1263
2017,2,5,P.M. Pablo Ruiz Picasso - Oeste,20620,17499,16201,1734,1569,1191
2016,1,5,P.M. Pablo Ruiz Picasso - Oeste,21031,16231,13783,1987,1566,1135
2016,2,5,P.M. Pablo Ruiz Picasso - Oeste,18971,19912,18137,2173,1361,1013
2015,1,5,P.M. Pablo Ruiz Picasso - Oeste,24779,19457,18015,2251,1176,1219
2015,2,5,P.M. Pablo Ruiz Picasso - Oeste,22772,22537,15797,1641,1512,1141
2014,1,5,P.M. Pablo Ruiz Picasso - Oeste,20863,17975,18138,2195,1355,1166
2014,2,5,P.M. Pablo Ruiz Picasso - Oeste,20148,19466,17140,2155,1458,1441
2013,1,5,P.M. Pablo Ruiz Picasso - Oeste,20534,20213,18620,2202,1599,1066
2013,2,5,P.M. Pablo Ruiz Picasso - Oeste,22225,18144,13753,2138,1359,1516
2012,1,5,P.M. Pablo Ruiz Picasso - Oeste,21639,17167,18165,2054,1414,1042
2012,2,5,P.M. Pablo Ruiz Picasso - Oeste,23106,17005,16177,1559,1360,1258
2011,1,5,P.M. Pablo Ruiz Picasso - Oeste,23540,22088,18311,1578,1631,1092
2011,2,5,P.M. Pablo Ruiz Picasso - Oeste,24813,20529,18966,2208,1487,1036
2010,1,5,P.M. Pablo Ruiz Picasso - Oeste,20021,20234,17074,1816,1128,1071
2010,2,5,P.M. Pablo Ruiz Picasso - Oeste,25499,18806,17140,1762,1194,1346
2020,1,1,Avda. Juan Sebastian Elcano - Este,4582,3667,3211,396,381,315
2020,2,1,Avda. Juan Sebastian Elcano - Este,4836,4314,3501,340,373,281
2019,1,1,Avda. Juan Sebastian Elcano - Este,5654,4373,4299,334,377,377
2019,2,1,Avda. Juan Sebastian Elcano - Este,5590,3826,2981,447,406,328
2018,1,1,Avda. Juan Sebastian Elcano - Este,5358,4332,3562,299,362,370
2018,2,1,Avda. Juan Sebastian Elcano - Este,4180,4783,3770,320,317,288
2017,1,1,Avda. Juan Sebastian Elcano - Este,5066,4883,3317,336,334,344
2017,2,1,Avda. Juan Sebastian Elcano - Este,4150,4264,3418,343,387,264
2016,1,1,Avda. Juan Sebastian Elcano - Este,5553,3922,3063,381,349,328
2016,2,1,Avda. Juan Sebastian Elcano - Este,4805,5237,4072,365,410,308
2015,1,1,Avda. Juan Sebastian Elcano - Este,5306,4434,4057,335,434,303
2015,2,1,Avda. Juan Sebastian Elcano - Este,4626,4305,3822,384,300,372
2014,1,1,Avda. Juan Sebastian Elcano - Este,4633,5078,3618,387,316,304
2014,2,1,Avda. Juan Sebastian Elcano - Este,4366,5342,3164,398,378,382
2013,1,1,Avda. Juan Sebastian Elcano - Este,4763,4585,4074,338,347,289
2013,2,1,Avda. Juan Sebastian Elcano - Este,4658,5296,3980,425,347,342
2012,1,1,Avda. Juan Sebastian Elcano - Este,5567,3875,3935,440,381,313
2012,2,1,Avda. Juan Sebastian Elcano - Este,4691,5010,3033,330,314,319
2011,1,1,Avda. Juan Sebastian Elcano - Este,4932,5184,3587,424,376,328
2011,2,1,Avda. Juan Sebastian Elcano - Este,5628,5209,3954,306,405,312
2010,1,1,Avda. Juan Sebastian Elcano - Este,5471,4459,4410,406,315,365
2010,2,1,Avda. Juan Sebastian Elcano - Este,4757,4319,4154,415,330,364
2020,1,2,Avda. Juan Sebastian Elcano - Oeste,13106,13138,13917,1184,1078,1108
2020,2,2,Avda. Juan Sebastian Elcano - Oeste,16763,16682,10570,1149,1353,1075
2019,1,2,Avda. Juan Sebastian Elcano - Oeste,17842,16473,13592,1296,1201,989
2019,2,2,Avda. Juan Sebastian Elcano - Oeste,16020,11853,11034,1538,1256,1088
2018,1,2,Avda. Juan Sebastian Elcano - Oeste,16405,14438,11327,1573,1199,1174
2018,2,2,Avda. Juan Sebastian Elcano - Oeste,15716,12955,14590,1151,1175,1148
2017,1,2,Avda. Juan Sebastian Elcano - Oeste,17957,16056,14292,1165,1123,974
2017,2,2,Avda. Juan Sebastian Elcano - Oeste,15757,12121,9846,1595,1286,1140
2016,1,2,Avda. Juan Sebastian Elcano - Oeste,17905,16399,10541,1279,1296,1028
2016,2,2,Avda. Juan Sebastian Elcano - Oeste,16460,16494,11144,1147,1280,1091
2015,1,2,Avda. Juan Sebastian Elcano - Oeste,13789,14069,11957,1137,1191,808
2015,2,2,Avda. Juan Sebastian Elcano - Oeste,13078,12343,11797,1451,905,1043
2014,1,2,Avda. Juan Sebastian Elcano - Oeste,17699,17507,13146,1180,1254,1115
2014,2,2,Avda. Juan Sebastian Elcano - Oeste,13338,16115,13722,1125,1234,1062
2013,1,2,Avda. Juan Sebastian Elcano - Oeste,19091,14166,12120,1565,1227,1167
2013,2,2,Avda. Juan Sebastian Elcano - Oeste,15096,12547,14060,1533,1345,1136
2012,1,2,Avda. Juan Sebastian Elcano - Oeste,18935,16100,11642,1261,937,979
2012,2,2,Avda. Juan Sebastian Elcano - Oeste,16750,12784,12456,1604,1321,848
2011,1,2,Avda. Juan Sebastian Elcano - Oeste,19483,12417,10244,1165,1185,1059
2011,2,2,Avda. Juan Sebastian Elcano - Oeste,17719,13966,9987,1228,1326,913
2010,1,2,Avda. Juan Sebastian Elcano - Oeste,18485,15655,12047,1362,1273,944
2010,2,2,Avda. Juan Sebastian Elcano - Oeste,17782,15654,13190,1317,1218,869
2020,1,3,Bolivia - Este,12611,11107,9111,920,970,931
2020,2,3,Bolivia - Este,11733,13190,10828,1304,1149,809
2019,1,3,Bolivia - Este,13431,10667,10779,942,967,834
2019,2,3,Bolivia - Este,14580,9143,7658,968,966,1046
2018,1,3,Bolivia - Este,9996,10525,10891,991,1107,968
2018,2,3,Bolivia - Este,14778,9637,10010,1269,1126,829
2017,1,3,Bolivia - Este,10255,13441,10201,1331,1108,1007
2017,2,3,Bolivia - Este,14727,11118,10018,1009,1067,1047
2016,1,3,Bolivia - Este,13703,12247,9824,955,1032,1048
2016,2,3,Bolivia - Este,12487,9800,9492,1097,1174,951
2015,1,3,Bolivia - Este,11376,13082,10212,1162,1136,983
2015,2,3,Bolivia - Este,12788,13047,10748,1350,917,996
2014,1,3,Bolivia - Este,14514,12968,10997,1003,856,962
2014,2,3,Bolivia - Este,9981,12992,10081,979,858,923
2013,1,3,Bolivia - Este,14321,11650,10883,971,1002,885
2013,2,3,Bolivia - Este,11413,11408,7672,1018,1075,771
2012,1,3,Bolivia - Este,10488,12467,9402,1281,1039,912
2012,2,3,Bolivia - Este,13800,11588,8581,940,1020,1017
2011,1,3,Bolivia - Este,14596,9191,10509,949,902,858
2011,2,3,Bolivia - Este,12323,12940,8815,924,1177,1016
2010,1,3,Bolivia - Este,10007,10270,10009,1330,939,779
2010,2,3,Bolivia - Este,12955,9373,8676,955,1133,910
